id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14766478,Rental unit in Newark · ★4.73 · 2 bedrooms · 2 beds · 1 bath,26250193,Gustavo A.,,North,40.75874,-74.17824,Entire home/apt,135,5,26,2023-12-18,1.02,3,175,9,
15287839,Home in Newark · ★4.46 · 2 bedrooms · 3 beds · 1 bath,37345383,Jermaine,,Central,40.73076,-74.18864,Entire home/apt,82,2,87,2023-11-29,1.07,7,282,17,
15927060,Rental unit in Newark · ★4.59 · 1 bedroom · 1 bed · 1 shared bath,24815236,Mario,,West,40.74123,-74.19896,Private room,391,7,22,2023-12-03,0.27,27,360,2,
15928368,Rental unit in Newark · ★4.03 · 3 bedrooms · 3 beds · 1 bath,24815236,Mario,,West,40.74123,-74.19896,Entire home/apt,827,7,36,2022-07-03,0.42,27,216,0,
15972117,Rental unit in Newark  · ★4.72 · 3 bedrooms · 3 beds · 2 baths,98835488,Sophya,,East,40.71967,-74.1773,Entire home/apt,218,1,109,2023-11-29,3.25,1,358,20,
16130199,Rental unit in Newark · ★4.33 · 1 bedroom · 1 bed · 1 shared bath,24815236,Mario,,West,40.74123,-74.19896,Private room,383,7,6,2023-11-26,0.07,27,360,1,
16130273,Rental unit in Newark · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,24815236,Mario,,West,40.74123,-74.19896,Private room,387,7,14,2023-12-15,0.16,27,360,2,
16142979,Rental unit in Newark · ★4.76 · 1 bedroom · 2 beds · 1 bath,1815182,Vlada,,North,40.78202,-74.16809,Entire home/apt,62,5,87,2023-12-23,1.05,1,219,14,
16171287,Rental unit in Newark · ★4.21 · 1 bedroom · 2 beds · 1 bath,24815236,Mario,,West,40.74081,-74.22709,Entire home/apt,81,7,47,2023-12-06,0.60,27,357,8,
16373790,Rental unit in Newark · ★4.96 · 6 bedrooms · 14 beds · 3 baths,17270,Rocio,,Central,40.75134,-74.16936,Entire home/apt,290,4,186,2023-12-21,2.19,1,0,23,
16732121,Rental unit in Newark · ★4.57 · 2 bedrooms · 1 bed · 1 bath,110948127,James,,Central,40.73557,-74.17193,Entire home/apt,207,1,7,2023-08-05,1.06,1,363,7,
16916270,Rental unit in Newark · ★4.76 · 1 bedroom · 2 beds · 1 bath,11210935,Ted,,Central,40.7387,-74.18175,Entire home/apt,66,2,259,2023-12-28,3.15,1,98,56,
16998232,Rental unit in Newark · ★4.78 · 2 bedrooms · 3 beds · 1 bath,113887164,Heba,,North,40.77353,-74.18058,Entire home/apt,138,1,45,2023-12-12,0.71,1,196,4,
17132138,Rental unit in Newark · 2 bedrooms · 1 bed · 1 shared bath,8269604,Naimah,,East,40.73509,-74.17072,Private room,115,30,0,,,1,180,0,
